,Film,Song,Raga
87,Amrapali,Nil Gagan Ki Chhaonmen,bhupali
88,Chori Chori,Panchhi Banu Udti Firun Mast Gagan Men,bhupali
89,Sehra,Pankh Hote To Ud Ati,bhupali
90,Dhoond,Sansaar Ki Har Shay Ka,bhupali
91,(non-film song),Sanvare Rang Rachi,bhupali
92,Love In Tokyo,"Sayonara, Sayonara",bhupali
93,Gumraah,Yeh Hava...Yeh Phiza...Aa Bhi Jaa,bhupali
94,(Non film song),Ab Ke Hum Bichray,bhupeshwari
95,(non film-song),Chadta Suraj,bhupeshwari
96,(Not a film song),Malavun Taak Deep,bhupeshwari
97,Shahjehan,Ai Dil Beqarar Kyun,bihag
98,Hum Matwale Naujahan,"Banke Chakori Gori, Jhum Jhum Nachegi",bihag
99,Grih Pravesh,Boliye Surili Boliyan,bihag
100,Kohinoor,Chalenge Tir Jab Dil Par,bihag
101,Udan Khatola,"Hamare Dil Se Na Jana, Dhokha Na Khana",bihag
102,Alaap,"Koi Gata, Main So Jata",bihag
103,Andaaz ,"Meri Ladli Re, Meri Ladli",bihag
104,Milan,Suhani Beriya Beeti Jay,bihag
105,Mere Mehboob,Tere Pyar Mein Dildar,bihag
106,Goonj Uthi Shahanai,Tere Sur Aur Mere Geet,bihag
107,Umrao Jaan,Yeh Kya Jagah Hai Doston,bihag
108,Aap Ki Kasam,Zindagi Ke Safar Men Guzar Jate Hain Jo Makam,bihag
109,Lekin,Jhoothe Naina Bole Sanchi Bateeyan,Bilaskhani Todi
110,Rani Roopmati,Aaja Bhanvara Suni Dagar,Brindavani Sarang
111,Tansen,Ghata Ghanaghor Ghor,Brindavani Sarang
112,Kashmir Ki Kali,Hai Re Hai (a.k.a. Meri Jaan Balle Balle),Brindavani Sarang
113,Ik Si Maa,"Haye Ve Dilbar Dildara
",Brindavani Sarang
114,Nagin,Jaadugar Sainyan,Brindavani Sarang
115,Rani Roopmati,Jhananana Jhan Baje Payaliya,Brindavani Sarang
116,Rudaali,Jhuthi Muthi Mitwa Avan Bole,Brindavani Sarang
117,Bhabhi,"Kaare Kaare Badara, Jaare Jaare Badara",Brindavani Sarang
118,Chandralekha,Mana Bhavana Sawan Aya,Brindavani Sarang
