,Thaat,Vadi,Samvadi,Jati,Time of day,Mukhya-Ang,Aaroh-Avroh,Raag,link
98,Kalyan,Pancham,Rishabh,Audhav-Shadhav,Night,R M P D n D ; P M D P ; M R M P ; D S n D;,"S R M P D S - S n D P M P M R S ,n ,D S;",Saraswati,http://www.tanarang.com/english/saraswati_eng.htm
99,Kalyan,Madhyam,Shadj,Audhav-Shadhav(veryrareuseofGandharinAvroh),Night,"R M P D P ; M P m R S ; M P D n D P D S; S n D P M m R ; S ,n ,D S;",S R M P D S - S n D P ; M P D P ; M m R S;,Saraswati Kedar,http://www.tanarang.com/english/saraswati-kedar_eng.htm
100,Kafi,Pancham,Shadj,Sampurna-Sampurna,Dawn,P m g m D ; D n P ; S D n P ; D m P g m R S;,",n S ; R g m P ; m g m ; D n P ; m P D n S - S D n P ; m P g m R S ; ",Shahana Kanada,http://www.tanarang.com/english/shahana-kanada_eng.htm
101,Bilawal,Gandhar,Nishad,Audhav-Shadhav,Night,G P N D S N ; D P G P ; RG RS ;,S G P N D S - S N P G ; P D P G ; P RG RS;,Shankara,http://www.tanarang.com/english/shankara_eng.htm
102,Kafi,Pancham,Shadj,Audhav-Audhav,Midnight, ><b>R g P ; D P g R ; g S R D S ;</b>,"S R g P D S - S D P g R S; R ,D S ; ",Shivranjani,http://www.tanarang.com/english/shivranjani_eng.htm
103,-,-,-,Audhav-Audhav,Late morning, ><b>R m P ; d P m R m ; P d P m R S ;</b>,"S R m P d S - S d P m R S ; ,d S ; ",Shobhawari,http://www.tanarang.com/english/shobhawari_eng.htm
104,Poorvi,Rishabh,Pancham,Audhav-Sampurna,Dusk,"S ,N r ; r r P ; M Pd M G r G r S ; M P N S r ; r N d P ; M d M G r ; G r S ;",S r M P N S - S r N d P M P d M G r S;,Shree,http://www.tanarang.com/english/shriraag_eng.htm
105,Kalyan,Gandhar,Dhaivat,Audhav-Sampurna,Evening,"G R G ; R S ; ,N ,D ,P ; G R S ; G R G ; P R S ;",S R G P D S - S N D P M G R S ; G R G P R S;,Shuddha Kalyan,http://www.tanarang.com/english/shuddha-kalyan_eng.htm
106,Kalyan,Rishabh,Pancham,Shadhav-Shadhav,Late morning,",N S R M M P ; M P M m R ; R ,N ,N S ; ,N ,D S ,N R S ;",",N S R M P N S - S N D P M P M m R S ,N S;",Shuddha Sarang,http://www.tanarang.com/english/shuddha-sarang_eng.htm
107,Kalyan,Shadj,Madhyam,Shadhav-Sampurna,Evening,"S R ,N S (m)R ; R M M P ; P G m R ; M P ; G m P ; G m R ; ,N S R S; ",",N S R M P N S - S N D P M P D P G m P G m R S ,N S;",Shyam Kalyan,http://www.tanarang.com/english/shyam-kalyan_eng.htm
108,Kafi,Shadj,Pancham,Audhav-Sampurna,Dusk,R m P D ; n D P S ; R g R S ; n D P m g R ; m g R S;,S R m P D S - S n D P m g R m g R S;,Sindhura,http://www.tanarang.com/english/sindhura_eng.htm
